nombre,temporada,club,entrenador,edad,posicion_normalizada,tipo_suceso,tipo_operacion,origen_desarrollo,partidos,minutos,goles,xg,goles_por_90,xg_por_90,valor_mercado,valor_llegada,valor_salida,revalorizacion_absoluta,revalorizacion_porcentual,revalorizacion_positiva,tiene_wyscout,club_pos_jugadores_sub23,club_pos_minutos_sub23,club_pos_goles_sub23,club_pos_xg_sub23,club_pos_pct_minutos,club_total_jugadores_sub23,club_total_minutos_sub23,club_total_goles_sub23,coach_total_jugadores_sub23,coach_total_minutos_sub23,coach_pos_minutos_sub23,demand_total_altas,demand_cesiones,demand_traspasos,demand_sub23,demand_recent,demand_score
Rober Ibáñez,2021-22,CD Leganés,Asier Garitano,28.0,Extremo,cesion,cesion,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,500000.0,0.0,0.0,0,False,2.0,3563.0,7.0,4.18,14.26,10.0,24980.0,35.0,2.0,2312.0,1403.0,8,6,1,5,1,62.4
Rubén Pardo,2021-22,CD Leganés,Asier Garitano,28.0,Centrocampista,libre,libre,Extranjero,0.0,0.0,0.0,0.0,0.0,0.0,2400000.0,2400000.0,1600000.0,-800000.0,-33.33,0,False,0.0,0.0,0.0,0.0,0.0,10.0,24980.0,35.0,2.0,2312.0,875.0,14,1,2,4,4,66.21
Xavi Quintillà,2021-22,CD Leganés,Asier Garitano,24.0,Lateral,cesion,cesion,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,2800000.0,2800000.0,2000000.0,-800000.0,-28.57,0,False,2.0,2708.0,2.0,1.69,10.84,10.0,24980.0,35.0,2.0,2312.0,34.0,10,5,1,3,3,65.98
Yacine Qasmi,2021-22,CD Leganés,Asier Garitano,31.0,Delantero,libre,libre,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,600000.0,600000.0,600000.0,0.0,0.0,0,False,2.0,5456.0,25.0,25.33,21.84,10.0,24980.0,35.0,2.0,2312.0,0.0,12,7,0,4,2,71.6
Yoel Bárcenas,2021-22,CD Leganés,Asier Garitano,27.0,Extremo,cesion,cesion,Extranjero,0.0,0.0,0.0,0.0,0.0,0.0,1000000.0,1000000.0,1500000.0,500000.0,50.0,1,False,2.0,3563.0,7.0,4.18,14.26,10.0,24980.0,35.0,2.0,2312.0,1403.0,8,6,1,5,1,62.4
Alberto Rodríguez,2021-22,CD Lugo,Rubén de la Barrera,28.0,Central,libre,libre,Otra categoria España,0.0,0.0,0.0,0.0,0.0,0.0,50000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,1.0,147.0,0.0,0.0,0.0,0.0,7,0,0,0,0,25.18
Chris Ramos,2021-22,CD Lugo,Rubén de la Barrera,24.0,Delantero,libre,libre,Sin club anterior,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,1000000.0,800000.0,400.0,1,False,0.0,0.0,0.0,0.0,0.0,1.0,147.0,0.0,0.0,0.0,0.0,4,1,0,0,0,21.75
David Mayoral,2021-22,CD Lugo,Rubén de la Barrera,24.0,Extremo,cesion,cesion,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,400000.0,100000.0,-300000.0,-75.0,0,False,0.0,0.0,0.0,0.0,0.0,1.0,147.0,0.0,0.0,0.0,0.0,4,2,0,2,0,31.72
Jaume Cuéllar,2021-22,CD Lugo,Rubén de la Barrera,19.0,Extremo,libre,libre,Extranjero,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,1.0,147.0,0.0,0.0,0.0,0.0,4,2,0,2,0,31.72
Joselu Moreno,2021-22,CD Lugo,Rubén de la Barrera,30.0,Delantero,cesion,cesion,Segunda Division,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,200000.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,1.0,147.0,0.0,0.0,0.0,0.0,4,1,0,0,0,21.75
