jugador,temporada,club,entrenador,edad,posicion,tipo_operacion,tipo_suceso,minutos,goles,xg,valor_mercado,revalorizacion_porcentual,revalorizacion_absoluta,comp_desarrollo,comp_mercado,comp_rendimiento,comp_progresion,dimensiones_usadas,operation_success_score
Jérôme Prior,2021-22,FC Cartagena,Luis Carrión,26.0,Portero,libre,libre,0.0,0.0,0.0,1300000.0,-46.15,-600000.0,,0.019250000000000007,,0.0,mercado+progresion,1.2
Mo Dauda,2021-22,FC Cartagena,Luis Carrión,23.0,Extremo,cesion,cesion,0.0,0.0,0.0,800000.0,50.0,400000.0,,0.5,,0.7,mercado+progresion,57.5
Pablo Vázquez,2021-22,FC Cartagena,Luis Carrión,26.0,Central,libre,libre,0.0,0.0,0.0,400000.0,25.0,100000.0,,0.375,,0.7,mercado+progresion,49.69
Richard Boateng,2021-22,FC Cartagena,Luis Carrión,28.0,Centrocampista,libre,libre,0.0,0.0,0.0,400000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Sebastián Cristóforo,2021-22,FC Cartagena,Luis Carrión,28.0,Centrocampista,otro,otro,0.0,0.0,0.0,900000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Sergio Tejera,2021-22,FC Cartagena,Luis Carrión,31.0,Centrocampista,libre,libre,0.0,0.0,0.0,500000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Shinji Okazaki,2021-22,FC Cartagena,Luis Carrión,35.0,Delantero,libre,libre,0.0,0.0,0.0,1000000.0,-70.0,-700000.0,,0.0,,0.0,mercado+progresion,0.0
Toni Datkovic,2021-22,FC Cartagena,Luis Carrión,28.0,Central,otro,otro,0.0,0.0,0.0,500000.0,20.0,100000.0,,0.35,,0.7,mercado+progresion,48.12
Yann Bodiger,2021-22,FC Cartagena,Luis Carrión,26.0,Centrocampista,libre,libre,0.0,0.0,0.0,800000.0,50.0,400000.0,,0.5,,0.7,mercado+progresion,57.5
Iván Martín,2021-22,Girona FC,Michel,22.0,Centrocampista,cesion,cesion,1193.0,0.0,1.65,800000.0,,,0.44185185185185183,,0.096,,desarrollo+rendimiento,32.66
Jonathan Dubasin,2021-22,Girona FC,Michel,21.0,Extremo,libre,libre,0.0,0.0,0.0,100000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Pablo Moreno,2021-22,Girona FC,Michel,19.0,Delantero,cesion,cesion,0.0,0.0,0.0,1000000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Adrián López,2021-22,Málaga CF,José Alberto,34.0,Delantero,otro,otro,0.0,0.0,0.0,700000.0,-42.86,-300000.0,,0.0357,,0.0,mercado+progresion,2.23
Aleix Febas,2021-22,Málaga CF,José Alberto,25.0,Centrocampista,cesion,cesion,0.0,0.0,0.0,1000000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Antoñín,2021-22,Málaga CF,José Alberto,21.0,Delantero,cesion,cesion,0.0,0.0,0.0,1500000.0,-33.33,-500000.0,,0.08335000000000001,,0.0,mercado+progresion,5.21
Braian Cufré,2021-22,Málaga CF,José Alberto,24.0,Lateral,cesion,cesion,0.0,0.0,0.0,3000000.0,-60.0,-1800000.0,,0.0,,0.0,mercado+progresion,0.0
Brandon Thomas,2021-22,Málaga CF,José Alberto,26.0,Extremo,libre,libre,0.0,0.0,0.0,600000.0,100.0,600000.0,,0.75,,0.85,mercado+progresion,78.75
Dani Martín,2021-22,Málaga CF,José Alberto,23.0,Portero,cesion,cesion,0.0,0.0,0.0,3000000.0,-33.33,-1000000.0,,0.08335000000000001,,0.0,mercado+progresion,5.21
Genaro Rodríguez,2021-22,Málaga CF,José Alberto,23.0,Centrocampista,libre,libre,0.0,0.0,0.0,300000.0,66.67,200000.0,,0.58335,,0.75001,mercado+progresion,64.58
Ismael Gutiérrez,2021-22,Málaga CF,José Alberto,20.0,Centrocampista,cesion,cesion,0.0,0.0,0.0,1000000.0,-80.0,-800000.0,,0.0,,0.0,mercado+progresion,0.0
Jozabed Sánchez,2021-22,Málaga CF,José Alberto,30.0,Centrocampista,libre,libre,0.0,0.0,0.0,700000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Mathieu Peybernes,2021-22,Málaga CF,José Alberto,30.0,Central,libre,libre,0.0,0.0,0.0,400000.0,50.0,200000.0,,0.5,,0.7,mercado+progresion,57.5
Paulino De La Fuente,2021-22,Málaga CF,José Alberto,24.0,Extremo,libre,libre,0.0,0.0,0.0,500000.0,60.0,300000.0,,0.55,,0.73,mercado+progresion,61.75
Sekou Gassama,2021-22,Málaga CF,José Alberto,26.0,Delantero,cesion,cesion,0.0,0.0,0.0,500000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Víctor Gómez,2021-22,Málaga CF,José Alberto,21.0,Lateral,cesion,cesion,0.0,0.0,0.0,2500000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Álvaro Vadillo,2021-22,Málaga CF,José Alberto,27.0,Extremo,cesion,cesion,0.0,0.0,0.0,1000000.0,-20.0,-200000.0,,0.15,,0.0,mercado+progresion,9.38
Borja Bastón,2021-22,Real Oviedo,José Ángel Ziganda,28.0,Delantero,libre,libre,0.0,0.0,0.0,2000000.0,25.0,500000.0,,0.375,,0.7,mercado+progresion,49.69
Carlos Isaac,2021-22,Real Oviedo,José Ángel Ziganda,23.0,Lateral,cesion,cesion,0.0,0.0,0.0,200000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Dani Calvo,2021-22,Real Oviedo,José Ángel Ziganda,27.0,Central,libre,libre,3818.0,1.0,0.97,1500000.0,,,1.0,,0.04,,desarrollo+rendimiento,68.0
David Costas,2021-22,Real Oviedo,José Ángel Ziganda,26.0,Central,libre,libre,3826.0,1.0,1.07,1200000.0,,,1.0,,0.048,,desarrollo+rendimiento,68.27
Erik Jirka,2021-22,Real Oviedo,José Ángel Ziganda,23.0,Centrocampista,traspaso,traspaso,0.0,0.0,0.0,800000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Gastón Brugman,2021-22,Real Oviedo,José Ángel Ziganda,28.0,Centrocampista,cesion,cesion,0.0,0.0,0.0,2000000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Hugo Rama,2021-22,Real Oviedo,José Ángel Ziganda,25.0,Mediapunta,libre,libre,0.0,0.0,0.0,400000.0,50.0,200000.0,,0.5,,0.7,mercado+progresion,57.5
Javi Mier,2021-22,Real Oviedo,José Ángel Ziganda,22.0,Centrocampista,otro,otro,0.0,0.0,0.0,600000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Joni Montiel,2021-22,Real Oviedo,José Ángel Ziganda,22.0,Mediapunta,cesion,cesion,0.0,0.0,0.0,300000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Jorge Mier,2021-22,Real Oviedo,José Ángel Ziganda,22.0,Lateral,otro,otro,0.0,0.0,0.0,100000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Jorge Pombo,2021-22,Real Oviedo,José Ángel Ziganda,27.0,Mediapunta,cesion,cesion,0.0,0.0,0.0,1000000.0,-50.0,-500000.0,,0.0,,0.0,mercado+progresion,0.0
Luismi Sánchez,2021-22,Real Oviedo,José Ángel Ziganda,29.0,Centrocampista,libre,libre,0.0,0.0,0.0,500000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Matheus Aiás,2021-22,Real Oviedo,José Ángel Ziganda,24.0,Delantero,cesion,cesion,0.0,0.0,0.0,550000.0,-27.27,-150000.0,,0.11365,,0.0,mercado+progresion,7.1
Pierre Cornud,2021-22,Real Oviedo,José Ángel Ziganda,24.0,Lateral,libre,libre,0.0,0.0,0.0,500000.0,140.0,700000.0,,0.95,,0.97,mercado+progresion,95.75
Rodri Tarín,2021-22,Real Oviedo,José Ángel Ziganda,25.0,Central,libre,libre,0.0,0.0,0.0,1500000.0,-66.67,-1000000.0,,0.0,,0.0,mercado+progresion,0.0
Tomeu Nadal,2021-22,Real Oviedo,José Ángel Ziganda,32.0,Portero,libre,libre,0.0,0.0,0.0,500000.0,-40.0,-200000.0,,0.05,,0.0,mercado+progresion,3.12
Beñat Turrientes,2021-22,Real Sociedad B,,19.0,Centrocampista,otro,sub23_wyscout,1860.0,0.0,0.44,300000.0,,,0.6888888888888889,,0.016,,desarrollo+rendimiento,46.46
Jon Karrikaburu,2021-22,Real Sociedad B,,18.0,Delantero,otro,sub23_wyscout,2280.0,11.0,11.77,100000.0,,,0.8444444444444444,,0.8840000000000001,,desarrollo+rendimiento,85.76
Robert Navarro,2021-22,Real Sociedad B,,19.0,Extremo,otro,otro,0.0,0.0,0.0,3000000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Diogo Queirós,2021-22,Real Valladolid CF,Pacheta,22.0,Central,cesion,cesion,0.0,0.0,0.0,3000000.0,-50.0,-1500000.0,,0.0,,0.0,mercado+progresion,0.0
Gonzalo Plata,2021-22,Real Valladolid CF,Pacheta,20.0,Extremo,cesion,cesion,0.0,0.0,0.0,5000000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Hugo Vallejo,2021-22,Real Valladolid CF,Pacheta,21.0,Extremo,libre,libre,0.0,0.0,0.0,1500000.0,-66.67,-1000000.0,,0.0,,0.0,mercado+progresion,0.0
Iván Sánchez,2021-22,Real Valladolid CF,Pacheta,29.0,Extremo,cesion,cesion,0.0,0.0,0.0,800000.0,-25.0,-200000.0,,0.125,,0.0,mercado+progresion,7.81
Kuki Zalazar,2021-22,Real Valladolid CF,Pacheta,23.0,Mediapunta,otro,otro,0.0,0.0,0.0,250000.0,0.0,0.0,,0.25,,0.0,mercado+progresion,15.62
Lucas Olaza,2021-22,Real Valladolid CF,Pacheta,26.0,Lateral,traspaso,traspaso,0.0,0.0,0.0,6000000.0,-58.33,-3500000.0,,0.0,,0.0,mercado+progresion,0.0
Sergio León,2021-22,Real Valladolid CF,Pacheta,32.0,Delantero,libre,libre,0.0,0.0,0.0,1200000.0,66.67,800000.0,,0.58335,,0.75001,mercado+progresion,64.58
Borja Sainz,2021-22,Real Zaragoza,Juan Ignacio Martínez,20.0,Extremo,cesion,cesion,0.0,0.0,0.0,2000000.0,10.0,200000.0,,0.3,,0.7,mercado+progresion,45.0
César Yanis,2021-22,Real Zaragoza,Juan Ignacio Martínez,25.0,Extremo,cesion,cesion,0.0,0.0,0.0,175000.0,-42.86,-75000.0,,0.0357,,0.0,mercado+progresion,2.23
Eugeni,2021-22,Real Zaragoza,Juan Ignacio Martínez,27.0,Centrocampista,libre,libre,0.0,0.0,0.0,800000.0,-25.0,-200000.0,,0.125,,0.0,mercado+progresion,7.81
