temporada,categoria,jugador,equipo,posicion_wyscout,posicion_primaria,posicion_normalizada,edad,pais_nacimiento,pasaporte,pie,altura,peso,valor_mercado,vencimiento_contrato,partidos_jugados,minutos_jugados,goles,xg,cesion,_match_key
2024-25,def,Iker Benito,Osasuna,"LB, LWB, RWB",LB,Lateral,23.0,Spain,Spain,derecho,177,74,800000,2027-06-30,25,1934,1,1.77,False,iker benito|osasuna|2024-25
2024-25,med,D. Musto,,"RCMF, DMF, LDMF",RCMF,Centrocampista,38.0,Argentina,"Argentina, Italy",derecho,182,80,100000,,24,1934,0,0.11,False,d musto||2024-25
2024-25,med,Josan,Elche CF,"RW, RWB, RAMF",RW,Extremo,36.0,Spain,Spain,derecho,175,68,700000,2026-06-30,32,1934,4,2.73,False,josan|elche cf|2024-25
2025-26,med,Juan Larios,Real Zaragoza,LB,LB,Lateral,22.0,Spain,Spain,izquierdo,170,63,0,2030-02-28,26,1932,0,0.17,True,juan larios|real zaragoza|2025-26
2024-25,def,José Matos,AD Ceuta FC,LB,LB,Lateral,30.0,Spain,Spain,izquierdo,168,70,1200000,2027-06-30,27,1930,1,0.31,False,jose matos|ad ceuta fc|2024-25
2024-25,def,Marco Sangalli,Racing Santander,"RB, LAMF, RAMF",RB,Lateral,34.0,Spain,"Spain, Italy",derecho,179,66,400000,2026-06-30,35,1927,4,2.1,False,marco sangalli|racing santander|2024-25
2023-24,med,Carlos Vicente,Birmingham City,"RAMF, RW",RAMF,Mediapunta,26.0,Spain,Spain,derecho,179,71,4000000,2029-06-30,21,1926,4,4.31,False,carlos vicente|birmingham city|2023-24
2022-23,def,Julián Delmás,Tarazona,RB,RB,Lateral,30.0,Spain,Spain,derecho,174,61,600000,2026-06-30,26,1925,0,0.53,False,julian delmas|tarazona|2022-23
2022-23,med,G. Shibasaki,Kashima Antlers,"LCMF, RCMF",LCMF,Centrocampista,33.0,Japan,Japan,derecho,174,68,500000,,30,1919,0,0.43,False,g shibasaki|kashima antlers|2022-23
2022-23,med,Fede Vico,Hércules,"RW, LW, AMF",RW,Extremo,31.0,Spain,Spain,izquierdo,179,71,600000,2026-06-30,40,1919,1,1.54,False,fede vico|hercules|2022-23
2024-25,med,Álex Fernández,Cádiz CF,"LCMF, LDMF",LCMF,Centrocampista,33.0,Spain,Spain,derecho,182,72,1500000,2026-06-30,33,1918,7,3.88,False,alex fernandez|cadiz cf|2024-25
2021-22,def,Asier Riesgo,,GK,GK,Portero,42.0,Spain,Spain,derecho,185,0,0,,20,1914,0,0.0,False,asier riesgo||2021-22
2023-24,def,Rubén Sánchez,RCD Espanyol Barcelona,RB,RB,Lateral,25.0,Spain,Spain,derecho,185,73,700000,2027-06-30,26,1913,0,0.71,False,ruben sanchez|rcd espanyol barcelona|2023-24
2025-26,med,Gorka Gorosabel,Real Sociedad B,"AMF, CF, LCMF",AMF,Mediapunta,20.0,Spain,Spain,derecho,0,0,0,2028-06-30,34,1912,2,2.54,False,gorka gorosabel|real sociedad b|2025-26
