jugador,spieler_id
Joseph Aidoo,358250
Joshua Pérez,351506
Josu Ozkoidi,89332
Josua Mejías,427683
Josué Dorrio,483453
José Amo,311454
José Antonio Caro,268946
José Antonio Martínez,311287
José Antonio Pardo,129769
José Antonio de la Rosa,1027993
José Aurelio Suárez,223720
José Calderón,630998
José Callejón,61253
José Campaña,120095
José Carlos Lazo,282410
José Copete,520840
José Corpas,379534
José Fontán,609361
José Gragera,557147
José León,281773
José Luis Morales,252677
José Luis Rodríguez,425028
José Manuel Arnáiz,364603
José Mari,225462
José Marsà,563139
José Matos,268957
José Naranjo,272679
José Ríos Reina,81980
José Salinas,819590
José Ángel Carmona,711625
José Ángel Carrillo,308982
José Ángel Jurado,187673
Jota,329812
Jota López,636530
Jovanny Bolívar,648076
Jozabed Sánchez,207924
Jozhua Vertrouwd,765467
João Carvalho,258005
João Costa,198638
Juan Aguilera,75820
Juan Antonio Ros,256018
Juan Artola,626960
Juan Bernat,126719
Juan Berrocal,461843
Juan Camilo Becerra,504506
Juan Carlos Arana,461631
Juan Carlos Gauto,847283
Juan Carlos Real,201861
Juan Cruz,585700
Juan Díaz,1317650
Juan Escobar,353034
Juan Gutiérrez,531121
Juan Hernández,349873
Juan Ibiza,411294
Juan Larios,646738
Juan Manuel Sanabria,446106
Juan María Alcedo,628923
Juan Muñoz,268958
Juan Otero,332305
Juan Peñaloza,491541
Juan Pérez,298613
Juan Pérez,1513781
Juan Rodríguez,275028
Juan Sebastián,708499
Juan Soriano,251892
Juan Villar,85500
Juanda Fuentes,636701
Juande Rivas,465317
Juanfran Moreno,64411
Juanjo Narváez,213595
Juanjo Nieto,327207
Juanlu Sánchez,676042
Juanma García,315312
Juanmi,126737
Juanpa Palomares,635318
Juanto Ortuño,213875
Jude Soonsup-Bell,670857
Juergen Elitim,607057
Julen Jon Guerrero,646825
Julen Lobete,625654
Julien Ponceau,569390
Julio Alonso,521455
Julio Buffarini,89281
Julio Gracia,391346
Julián Chicco,401583
Julián Delmás,509484
June-hyuk Ahn,627279
Justin Smith,904712
Jérémy Blasco,517845
Jérémy Mellot,525113
Jérôme Prior,238720
Jürgen Locadia,166240
Kaiky,743589
Kamil Jóźwiak,289167
Kamil Piątkowski,345449
Karl Hein,493513
Kaxe,510999
Kazunari Kita,915258
Keidi Bare,295622
Keita Baldé,238752
Kelechi Nwakali,383153
Kellyan García,465318
Kenan Kodro,197126
Kenneth Mamah,776579
Kenneth Omeruo,131708
Kento Hashimoto,183436
Kervin Arriaga,526050
Kevin Bua,252080
Kevin Carlos,718201
Kevin Medina,635904
Kevin Presa,379224
Kevin Sánchez,1064139
Kevin Vázquez,221315
Kike García,93936
Kike López,56542
Kike Márquez,101733
Kike Pérez,527698
Kike Salas,766583
Kike Saverio,388519
Kiko Olivas,51667
Kleandro Lleshi,466800
Koba Koindredi,569375
Koldo Obieta,445584
Konrad de la Fuente,466809
Kuki Zalazar,311696
Kwasi Sibo,538006
Kévin Appin,342223
Kévin Rodrigues,206947
Kévin Soni,353959
Lago Júnior,100722
Lalo Aguilar,715679
Lanchi,631098
Lander Astiazaran,1201529
Lander Olaetxea,377795
Landry Dimata,311489
Laorent Shabani,381979
Largie Ramazani,518644
Lars Veldwijk,175912
Lautaro Blanco,831161
Lautaro de León,561745
Lazar Randjelovic,512394
Leandro Chichizola,95736
Leo Román,562742
Leonardo Buta,653415
Leonardo Pisculichi,26744
Leonardo Sequeira,384761
Liberman Torres,819710
Liberto Beltrán,355763
Limones,57948
Lisandro López,125019
Lisandro Magallán,66736
Lluis Tarrés,466788
Lluís López,262391
Loren Morón,354741
Loren Zúñiga,720523
Lorenzo Aguado,709997
Lorenzo Amatucci,707450
Loïc Badiashile,342202
Loïc Williams,707272
Luca Ferrone,380320
Luca Sangalli,289286
Luca Zanimacchia,407265
Luca Zidane,283489
Lucas Alcázar,709998
Lucas Anacker,510388
Lucas Boyé,334222
Lucas Díaz,355534
Lucas Noubi,743379
Lucas Olaza,216240
Lucas Oliveira,592373
Lucas Perrin,352392
Lucas Pires,927768
Lucas Pérez,73185
Lucas Ribeiro,612880
Lucas Robertone,457221
Lucas Román,990202
Lucas Sanseviero,970866
Lucho García,469737
Lucho Vega,741033
Luis Abram,330684
Luis Asué,702911
Luis Chacón,473402
Luis Hernández,62945
Luis López,623525
Luis Milla,281989
Luis Muñoz,355624
Luis Perea,396328
Luis Pérez,358115
Luis Quintero,742864
Luis Ruiz,286020
Luis Suárez,424784
Luis Valcarce,288459
Luisinho,56777
Luismi Cruz,610461
Luismi Redondo,398183
Luismi Sánchez,207922
Luka Gagnidze,724969
Luka Romero,769063
Lukas Julis,147550
Lumor Agbenyenu,344393
Luís Maximiano,367464
Lázaro,574772
Maguette Gueye,933795
Maikel Mesa,197576
Makhtar Gueye,606849
Mamadou Loum,364237
Mamadou Mbacke,898751
Mamadou Sylla,166683
Mamadou Traoré,543390
Manel Martínez,414216
Manel Royo,351216
Manex Gibelalde,1055874
Manex Lozano,1427892
Mangel Prendes,636411
Manolo Reina,29051
Manu Fuster,511021
Manu García,277118
Manu García,76273
Manu García,446289
Manu Garrido,789328
Manu Hernando,396161
Manu Justo,593357
Manu Lama,628464
Manu Molina,160671
Manu Morlanes,335225
Manu Nieto,399357
Manu Rico,718203
Manu Rodríguez,1064469
Manu Sánchez,374142
Manu Trigueros,188854
Manu Vallejo,527350
Marc Aguado,531404
Marc Carbó,487116
Marc Cardona,443222
Marc Domènech,1296876
Marc Doménech,617073
Marc Fernández,176298
Marc Gual,376486
Marc Llinares,740952
Marc Martínez,129374
Marc Mateu,96539
Marc Pedraza,72319
Marc Pubill,844637
Marc Valiente,53301
Marc Vidal,541621
Marc-Olivier Doué,540654
Marcelo Barovero,55142
Marcelo Djaló,142022
Marcelo Expósito,711631
Marcelo Flores,668495
Marcelo Saracchi,373916
Marcelo dos Santos,697818
Marciano Sanca,1013774
Marco Camus,636119
Marco Moreno,534376
Marco Sangalli,197131
Marcos André,481084
Marcos Baselga,531405
Marcos Cuenca,709804
Marcos Fernández,961948
Marcos Leiva,1365852
Marcos Luna,718876
Marcos Mauro,247366
Marcos Navarro,1063331
Marcos Paulo,612496
Marcos Peña,1064121
Marcos Sánchez,668211
Mariano Carmona,827984
Marino Illescas,556059
Mario Barco,248021
Mario Cantero,1114719
Mario Climent,720526
Mario García,889459
Mario Gaspar,73250
Mario González,255995
Mario Hernández,608531
Mario Maroto,710484
Mario Soberón,522110
Mario Soriano,568148
Mario da Costa,635943
Markel Lozano,386668
Marko Dmitrovic,94308
Marko Milovanović,845568
Marko Perovic,944583
Marko Scepovic,99977
Marlos Moreno,345654
Martin Hongla,398808
Martí Riverola,143863
Martín Aguirregabiria,483573
Martín Bellotti,661135
Martín Calderón,278404
Martín Cáceres,54935
Martín Fernández,670341
Martín Merquelanz,289272
Martín Pascual,638588
Marvel,935229
Marvin Park,603940
Masca,606720
Mateo Mejía,682588
Mateusz Bogusz,431475
